predicate	count	label	description
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	18285		
http://schema.org/name	14432		
http://schema.org/url	10666		
http://schema.org/actor	6953		
http://schema.org/genre	2745		
http://schema.org/actionPlatform	1756		
http://schema.org/description	1678		
http://schema.org/productionCompany	1626		
http://schema.org/duration	1235		
http://schema.org/countryOfOrigin	1188		
http://schema.org/director	1168		
http://schema.org/ratingValue	1022		
http://schema.org/bestRating	984		
http://schema.org/worstRating	984		
http://schema.org/aggregateRating	962		
http://schema.org/startDate	956		
http://schema.org/location	955		
http://schema.org/releasedEvent	955		
http://schema.org/ratingCount	950		
http://schema.org/sameAs	706		
http://schema.org/image	631		
http://schema.org/contentUrl	610		
http://schema.org/height	558		
http://schema.org/width	558		
http://schema.org/caption	551		
http://schema.org/category	439		
http://schema.org/eligibleRegion	439		
http://schema.org/expectsAcceptanceOf	439		
http://schema.org/hasPart	439		
http://schema.org/inLanguage	439		
http://schema.org/potentialAction	439		
http://schema.org/target	439		
http://schema.org/availabilityStarts	438		
http://schema.org/timeRequired	438		
http://schema.org/urlTemplate	438		
http://schema.org/author	200		
http://schema.org/producer	190		
http://schema.org/musicBy	72		
http://schema.org/dateCreated	67		
http://schema.org/thumbnailUrl	66		
http://schema.org/publisher	60		
http://schema.org/review	60		
http://schema.org/reviewBody	60		
http://schema.org/reviewRating	60		
http://schema.org/trailer	59		
http://schema.org/uploadDate	59		
http://schema.org/disambiguatingDescription	43		
<http://schema.org/description>	22		
http://schema.org/datePublished	17		
http://schema.org/award	15		
http://schema.org/isBasedOn	15		
http://schema.org/isbn	14		
http://schema.org/reviewCount	12		
http://schema.org/availableLanguage	3		
http://schema.org/isFamilyFriendly	2		
http://schema.org/bookFormat	1		
http://schema.org/copyrightYear	1		
http://schema.org/dateModified	1		
http://schema.org/publication	1		
http://schema.org/publishedOn	1		
http://schema.org/schemaVersion	1		
http://schema.org/subtitleLanguage	1		
