phone_normalized,wdc_subject_count,sample_values,sample_subjects
2028851000,222606,(202) 885-1000,_:ne3be761d911b44a79ccadd78d6bbeb51xb1 | _:ne3be761d911b44a79ccadd78d6bbeb51xb5 | _:ne3be761d911b44a79ccadd78d6bbeb51xb9 | _:n464739f20a574d5c87737d884cce3181xb1 | _:n464739f20a574d5c87737d884cce3181xb5
+440152465201,16390,+44 (0)1524 65201 | \r\n            +44 (0)1524 65201\r\n        ,_:node1ifdru3qjx22146098 | _:node1ife4g150x80686 | _:node1ifdq5sh3x33285757 | _:node1ifgc6vojx4862721 | _:node1ifgc6vojx4862723
3158594011,8521,(315) 859-4011 | 315-859-4011,_:node1ifg57rg9x6737397 | _:nbbd8b28ae4e5481d9b94dc42510120a4xb0 | _:nd10bf5d5a92442388db8ff085089d5b7xb0 | _:nc733ddf3f91d4c8e8aa1b29cd3edb219xb0 | _:nf881f86fe2bb4c9f8ccc6b3e5587fe36xb0
+4401224272000,8491,\r\n                            Tel: +44 (0)1224 272000\r\n                         | \n                            Tel: +44 (0)1224 272000\n                         | \r\n                        Tel: +44 (0)1224 272000\r\n                    ,_:node1ifg0c5tjx14164843 | _:node1ifdbnbshx1557796 | _:node1iff9ipl0x11481676 | _:node1ifd0kpegx19388494 | _:node1ifd32ihsx1622114
8474913741,2893,(847) 491-3741,_:node1iffv1drux1986703 | _:nbe14da47320445b4ae13a2d138a8ac45xb1 | _:n11290831e5c346c69039569c67c3ce6dxb1 | _:na74fec07447f441db3830b353ba50ab9xb1 | _:na3499f7e99624b6baa08cb6b373bc130xb1
3125038649,2892,(312) 503-8649,_:nbe14da47320445b4ae13a2d138a8ac45xb1 | _:n11290831e5c346c69039569c67c3ce6dxb1 | _:na74fec07447f441db3830b353ba50ab9xb1 | _:na3499f7e99624b6baa08cb6b373bc130xb1 | _:n092f95f67bd4433b8c734595ee5707ffxb1
+74956737371,2610,+74956737371,_:node1ifenc83gx9409248 | _:node1ifenc83gx9409252 | _:node1ifenc83gx9409256 | _:node1ifenc83gx9409260 | _:node1ifenc83gx9409265
+441274232323,2427,+441274 232323 | +44 1274 232323,_:n2c73020be17747a087c8b46b2fe0e690xb0 | _:n89c46b982bed4a9f9e944e1e15a92bdaxb0 | _:nb743e4015c2c48a38abad7cbdb9713faxb0 | _:n6b37768d53024b9f9d7144b324d1d1e6xb0 | _:n0174f409a05140d497bdb11f3a6267f5xb0
2023195000,2013,202-319-5000,_:n2e6053d82af74c799c69c5e3f469c45bxb0 | _:n0addbde1642d427b8d23a5c08435e65fxb0 | _:nd3bb82e079f24d41a0e7016e1e44553axb0 | _:na40c309263d74284aae7ba96d389a121xb0 | _:n7e8eb616ec46431485dd706137289e0dxb0
+4402477657688,1970,+44 (0)24 7765 7688,_:n331554b9b67c4beaaed92c3717d9b42dxb0 | _:n4174358bba6642a7982c52847d47ce71xb0 | _:n638e9d92ee3a4f5583055ef661866846xb0 | _:n7f1c4a7271b741dfb716d85e62044336xb0 | _:n899ed8a02dab40c3a0936287a43a9275xb0
4107063100,1768,410-706-3100,_:node1iff9ococx7349049 | _:node1ifec7eslx10181320 | _:node1iff1n039x14620192 | _:node1ifekvdcdx7261936 | _:node1ife3r8gux27567413
+12609825000,1679,+1-260-982-5000,_:n2b703bdd067640ed94ea5cf0416744d1xb0 | _:n827a73d166a5422fb063842dbffa9eacxb0 | _:n9e97c4ff703d4bfb93e215fd4fe22da9xb0 | _:nf00e8cfd752d4734bbe3a4e048766820xb0 | _:nb4cfffd103074fa4bcc8d4cf9f3f1df7xb0
