eidr_normalized,wdc_count,wikidata_count,pairs_count,is_problematic,sample_wdc_value
105240/83f7acb78859b7b81187t,3,1,3,1,10.5240/83F7-ACB7-8859-B7B8-1187-T
105240/60d4e6841f46d64c59bag,3,1,3,1,10.5240/60D4-E684-1F46-D64C-59BA-G
105240/30fd323596e17f0c96af3,3,1,3,1,10.5240/30FD-3235-96E1-7F0C-96AF-3
105240/f3ca8a2f426afb7b2277i,2,1,2,1,10.5240/F3CA-8A2F-426A-FB7B-2277-I
105240/ed26433bdeaf915c3973u,2,1,2,1,10.5240/ED26-433B-DEAF-915C-3973-U
105240/e8423f719312ec8ba8b5a,2,1,2,1,10.5240/E842-3F71-9312-EC8B-A8B5-A
105240/e3b8c00eed40d7895a9e9,2,1,2,1,10.5240/E3B8-C00E-ED40-D789-5A9E-9
105240/d8ac22ca95f14ac01449a,2,1,2,1,10.5240/D8AC-22CA-95F1-4AC0-1449-A
105240/d79470c9111cd36b0e29d,2,1,2,1,10.5240/D794-70C9-111C-D36B-0E29-D
105240/d60a62fe4002f2b4c8c4a,2,1,2,1,10.5240/D60A-62FE-4002-F2B4-C8C4-A
105240/d470360cb0e98742ca0ak,2,1,2,1,10.5240/D470-360C-B0E9-8742-CA0A-K
105240/d3c921cbea8db352f3653,2,1,2,1,10.5240/D3C9-21CB-EA8D-B352-F365-3
105240/d21e3b4e35a9a1b8f5c0o,2,1,2,1,10.5240/D21E-3B4E-35A9-A1B8-F5C0-O
105240/d03bf2c347be182f85955,2,1,2,1,10.5240/D03B-F2C3-47BE-182F-8595-5
105240/cf8c4d76482ef35f8df2z,2,1,2,1,10.5240/CF8C-4D76-482E-F35F-8DF2-Z
105240/cadc3108d6b86908c5dfn,2,1,2,1,10.5240/CADC-3108-D6B8-6908-C5DF-N
105240/c2e6e66b2497bb2e29a7j,2,1,2,1,10.5240/C2E6-E66B-2497-BB2E-29A7-J
105240/c2b5c8236769abf1e33a4,2,1,2,1,10.5240/C2B5-C823-6769-ABF1-E33A-4
105240/c2794b133fa8b3d33ba8k,2,1,2,1,10.5240/C279-4B13-3FA8-B3D3-3BA8-K
105240/bf71f98c596d652cac595,2,1,2,1,10.5240/BF71-F98C-596D-652C-AC59-5
105240/ba1ef52e2b43d44fe0e31,2,1,2,1,10.5240/BA1E-F52E-2B43-D44F-E0E3-1
105240/b07ee3058057cd370887e,2,1,2,1,10.5240/B07E-E305-8057-CD37-0887-E
105240/ada405e56a7cbee0bfe8w,2,1,2,1,10.5240/ADA4-05E5-6A7C-BEE0-BFE8-W
105240/ad754c244c6e7180da6dk,2,1,2,1,10.5240/AD75-4C24-4C6E-7180-DA6D-K
105240/a33f27eaf985fb810cbfn,2,1,2,1,10.5240/A33F-27EA-F985-FB81-0CBF-N
105240/9d586871e30ed1e28706z,2,1,2,1,10.5240/9D58-6871-E30E-D1E2-8706-Z
105240/87529e3448d3576f9ea3n,2,1,2,1,10.5240/8752-9E34-48D3-576F-9EA3-N
105240/8537d218c1cbd54f4bbaq,2,1,2,1,10.5240/8537-D218-C1CB-D54F-4BBA-Q
105240/83cab999433426402994k,2,1,2,1,10.5240/83CA-B999-4334-2640-2994-K
105240/80341337d2da2134bc92v,2,1,2,1,10.5240/8034-1337-D2DA-2134-BC92-V
105240/7f9354bb49efcd692c90r,2,1,2,1,10.5240/7F93-54BB-49EF-CD69-2C90-R
105240/73882489aad3ba65e318y,2,1,2,1,10.5240/7388-2489-AAD3-BA65-E318-Y
105240/71a5204f10f2ae31f66c5,2,1,2,1,10.5240/71A5-204F-10F2-AE31-F66C-5
