phone_normalized,wdc_subject_count,sample_raw_values,sample_subjects
330478034700,1936,+33 (0)4 78 03 47 00,_:node1ifd6t8esx3207238 | _:node1ifefhh10x46689842 | _:node1ifernkapx12949985
4533932575,1569,+45 3393 2575,_:node1iff0qm4ux6575145 | _:node1ifdgo6a4x6436772 | _:node1iff0qnbtx1654814
37322240426,1074, +373 (22) 24-04-26 | +373 (22) 24-04-26,_:node1ifffo4fax2028421 | _:node1ifffo4fax2028423 | _:node1ifffo4fax2028425
37322244325,1074, +373 (22) 24-43-25 | +373 (22) 24-43-25,_:node1ifffo4fax2028421 | _:node1ifffo4fax2028423 | _:node1ifffo4fax2028425
551138973232,792,+55 11 3897-3232,_:n680103c9b5754db8af7c35cb6f70f471xb0 | _:n41f0f1a4ab5c4999a36dbb6365efcccexb0 | _:n70f7b121a81847958a96faa7ebab32c0xb0
14804786000,646,+14804786000,_:nc73ef2a13e3d4a6f895bffdcac09bf4axb0 | _:n38ac1074367b48a998fcf9b27f811575xb0 | _:n9d1f78a86dd748fd8c26f7abd4cb03c4xb0
ntttttt78342391497n78342391496n78342391490ttttt,623,\n\t\t\t\t\t\tТел. заявки: +7 (8342) 39-14-97\nТел. общий: +7 (8342) 39-14-96\nТел. касса:  +7 (8342) 39-14-90\t\t\t\t\t,_:node1ifg9d8cmx2556693 | _:node1ifec7n4nx34789022 | _:node1ifg95b1ax2534611
4930992118989,499,+49 30 99 211 89 89,_:n6728234fab4d42b5b731e01071ef51e3xb0 | _:nf63845b396364db9b430b16921ebcbeaxb0 | _:n311aba17990f46c3a2c234623468b139xb0
74955689580,398,+7 (495) 568 95 80,_:n954cc72e34784ec6937024c08cbb9438xb0 | _:node1ifd4q291x23486444 | _:nc3ea9982ad6c428c88f0dc95825db0b8xb0
74986538660,398,+7 (498) 653 86 60,_:n954cc72e34784ec6937024c08cbb9438xb0 | _:node1ifd4q291x23486444 | _:nc3ea9982ad6c428c88f0dc95825db0b8xb0
33160852078,340,+33160852078,_:nfc742b6e7710463db37294e3c4b03a79xb0 | _:nf71bc9d7b3c94e7485c4cf802a240419xb0 | _:n68029295c91e42d59111501e67411676xb0
4402890320392,289,+44 (0)28 90320392,<https://www.niwarmemorial.org/#identity> | <https://www.niwarmemorial.org/collections/archive/lennon-collection#identity> | <https://www.niwarmemorial.org/collections/blitz-casualties-list/adam-mcgregor#identity>
17046544400,279,+1-704-654-4400,_:ndf5dc52f7a8d45098324d4c120830b05xb0 | _:n4a6b28cb1cee4e4ba16216af6a3a5c28xb0 | _:n588306b33172451e86357fb9ec48c5b2xb0
17022292734,241,+1-702-229-2734,_:n4370b1e97cce4b0b89fa1e09dbde98d3xb0 | _:nd6f242eac50040b987c8932fab7d9b25xb0 | _:n17f31b3774b94d58916e1d08b9d45202xb0
78123134703,200,+78123134703,_:ndb23e4a3497640509e3cda7e3f5f97ddxb0 | _:n3edfb97cfc39413aabb160b5838130dfxb0 | _:ne96ea3620aa6440baeceb9ad4cbc89fbxb0
492772573810,157,+492772573810,_:nabfea045fb2643fd82422874aa6c2a2cxb26 | _:nd7184972d6b14383ba1e8c2b0b8a1f4exb26 | _:n1f47a3e8ad0a4e07a482ba8e59d6c97dxb26
5052452137,138,(505) 245-2137,<https://ftp.nuclearmuseum.org/cart/2023-election-day-camp#identity> | <https://ftp.nuclearmuseum.org/cart/2023-photography-night-at-the-museum#identity> | <https://ftp.nuclearmuseum.org/cart/2023-raffle-san-antonio#identity>
494511224230,134,+49 451 1224230,_:nbf722e5ef00140b5809299c050933bfcxb0 | _:ne1980dc8a67c4b36a79d4dde383983b3xb0 | _:n90bddd8dce164d83a921bef8391c0ef4xb0
2082677720,113,(208) 267-7720,_:n163522c31a154490a4138b3cdf0b4c41xb0 | _:na876a1ba00a549e7ba7ebe21eb94c494xb0 | _:ne7597780023b4525bfe1fd15903096e6xb0
299322611,112,(+299)322611,_:naebdc3e859d94826a1bd9106422887daxb0 | _:nb018f7563de740fbb12853cbfe6b0961xb0 | _:ne07258f50036490d8fadfd645438804dxb0
4935186440,99,+49 (351) 8644-0,_:node1ife7sc3ix15030257 | _:node1ife77cejx14814058 | _:node1ife8e9ijx9934693
330328503380,84,+33 (0)3 28 50 33 80,_:n3d21db65c62249eca49f818e8077ef09xb0 | _:na35c14be11db4eaeb20ab969a782a6abxb0 | _:nef51b5cd28ad426cb6b39ca668f5a194xb0
2079672712,83,207-967-2712,_:node1ifdu2rr5x1540699 | _:node1ifdmt7k8x28415379 | _:node1ifdspu54x3997724
494511224190,83,+49 451 1224190 | +49 451 - 122 4190,_:nab3ceff31cdf4c42b7fc310ac17402a0xb0 | _:n31a4875415104dda932741f7b5d3605cxb0 | _:n61063c84c22e4ac1b38164211e3ee2d1xb0
34958274062,72,+34 958 274 062,_:nde07553b1a84437da7b2ba36a41c9250xb10 | _:nde07553b1a84437da7b2ba36a41c9250xb14 | _:nde07553b1a84437da7b2ba36a41c9250xb18
490941297140,65,+ 49 (0)941 29714-0,_:n554c4e9585e8497b8733590e94ae359bxb0 | _:nda1ba5296b8f473f96cf6e74477f56d5xb0 | _:n68d7033c86fe44ec8c10d40af222010bxb0
494511224137,59,+49 451 1224137,_:n2f5727614d2640ba800896443aaa18d2xb0 | _:n9db0110cd3ce49a7a534ffaf7f494da7xb0 | _:nd745a271f06b4a918c7434a1ca6d4c5exb0
3138844222,52,313-884-4222,_:node1iffa4kagx21817092 | _:node1iffa4kagx21993212 | _:node1iff53ok5x34204678
494511224122,52,+49 451 1224122,_:ncbd17927de6449739efae542cd28d7a3xb0 | _:n69bce68c3ce741e9bb70f540eb559b9exb0 | _:nb1a4b37a69b24c94a433d500dc6f4b1bxb0
0591393400,49,0591-393400,_:n06140dc2e1bc45b2876296f8e2c96a4bxb0 | _:nbf7f44edacdb4fbe84245dd0bf2b0b41xb0 | _:n7f9150e65aa74b7fbc8237230368418bxb0
phone094304240,46,Phone 09 430 4240,_:node1ifflsdt7x1566201 | _:node1iffju47vx6610364 | _:node1iffclhu0x9072640
494511224148kasse,43,+49 451 1224148 (Kasse),_:nb50f8025b81f4460996c038af0eb56c3xb0 | _:n64c7056ad90449d497c5e80612574f01xb0 | _:nd5e0b6347ff64136a607fe23da418934xb0
43051259489,42,+43 (0)512/594 89,_:ndc8d61b9a74f459e88e0902fab29218axb1 | _:ndfa2931165b641f1854c7ee434c34e96xb1 | _:ne39d37e2db124c1f84069c50be0930e1xb1
01245429134,37,01245 429134,_:n015013b201f74cb3a99fa54d1c7867a6xb0 | _:n0e752d87a4a749fe937c111243f31b6bxb0 | _:nedf72aad0b4b472d81ce5c1f796d7bf4xb0
sciencecenteroperator4106852370,36,Science Center Operator: 410.685.2370,_:node1iff0qu5cx9490274 | _:node1iff02j0mx2111624 | _:node1ifencfsix30052929
3250270311,35,+3250270311,_:nb7c8bf318c654ae2a8509e577ddb57d5xb0 | _:n9706db83a47347c08dc6776dce3f5f5cxb0 | _:nd23531df9b3c41d49c9e36b2b749be0dxb0
43051259489514,30,+43 (0)512/594 89 514,_:n09810ba472074081abd2fa7733f15889xb1 | _:n84229f4779dc4b07bf8f6e2dfefadeeexb1 | _:n2483fabdf2dd48d98b4a1b61b2aa42dexb1
494511224129,29,+49 451 1224129,_:nac8c2126ba6b420ab8a4639dbbcaaf04xb0 | _:n9060185c3f0d4d39915b6d774df124f1xb0 | _:n0a3a4b56b1c046fca5332ed4040304eaxb0
390775728374,25,+390775728374,_:n6e3496834b124ece8763067791bd6999xb0 | _:ne7c3e9e292d244f9bda1e138175a6297xb0 | _:n5c5cd2b528c440b0aeb496f7d9f94588xb0
t32093301730,24,T +32 (0)9-330 17 30,<https://museumdd.be/museumdd#identity> | <https://museumdd.be/auteur/museumdd#identity> | <https://museumdd.be/boek/museumdd#identity>
3524951044,23,352-495-1044,_:ncade4f40e7f443d1afca2ba1a2099ef7xb0 | _:nfd6cee8f1f6249b0ac023a79ba7bcaaaxb0 | _:n65d2ffc33f4241b7a8346dbf2f0ea736xb0
