predicate	count	label	description
http://www.w3.org/2000/01/rdf-schema#label	4805		
http://schema.org/description	4739		
http://www.wikidata.org/prop/direct/p625	2395	coordinate location	geocoordinates of the subject. For Earth, please note that only the WGS84 geodetic datum is currently supported
http://www.w3.org/2004/02/skos/core#altLabel	2017		
http://schema.org/dateModified	1938		
http://schema.org/version	1938		
http://wikiba.se/ontology#identifiers	1938		
http://wikiba.se/ontology#sitelinks	1938		
http://wikiba.se/ontology#statements	1938		
http://www.wikidata.org/prop/direct/p3749	1193	Google Maps Customer ID	in Google Maps, Customer identifier for a place
http://www.wikidata.org/prop/direct/p10487	1113	Skyscanner hotel ID	identifier for a hotel on the skyscanner website
http://www.wikidata.org/prop/direct/p281	1081	postal code	code assigned by postal authorities for the subject area or building for the purpose of sorting and routing mail
http://www.wikidata.org/prop/direct/p2013	1036	Facebook username	identifier for an official (preferably) Facebook person, product or organization page (everything that follows URL part 'https://www.facebook.com/')
http://www.wikidata.org/prop/direct/p6375	1036	street address	full street address where subject is located. Include building number, city/locality, post code, but not country; use also P669 if the street has its own separate item
http://www.wikidata.org/prop/direct/p10533	913	Agoda hotel numeric ID	numeric identifier for an hotel on the Agoda website
http://www.wikidata.org/prop/direct/p10532	872	Booking.com numeric ID	numeric identifier for a hotel on the Booking.com website
http://www.wikidata.org/prop/direct/p3134	855	TripAdvisor ID	identifier of a place (region, hotel, restaurant, attraction), in TripAdvisor
http://www.wikidata.org/prop/direct/p528	790	catalog code	catalog name of an object, use with qualifier P972
http://www.wikidata.org/prop/direct/p3898	775	Hotels.com hotel ID	identifier for a hotel on the Hotels.com website
http://www.wikidata.org/prop/direct/p3607	772	Booking.com hotel ID	identifier for a hotel on the Booking.com website
http://www.wikidata.org/prop/direct/p2003	758	Instagram username	item's username on Instagram
http://www.wikidata.org/prop/direct/p1566	737	GeoNames ID	identifier in the GeoNames geographical database
http://www.wikidata.org/prop/direct/p10425	596	Trip.com hotel ID	identifier for the hotel on the online travel agency website Trip.com
http://www.wikidata.org/prop/direct/p5651	574	Expedia hotel ID	identifier for an hotel on the Expedia website
http://www.wikidata.org/prop/direct/p571	551	inception	time when an entity begins to exist; for date of official opening use P1619
http://www.wikidata.org/prop/direct/p2900	533	fax number	telephone number of a facsimile line
http://www.wikidata.org/prop/direct/p6008	509	Agoda hotel ID	identifier for an hotel on the Agoda website
