predicate	count	label	description
http://schema.org/amenityFeature	78468		
http://schema.org/description	51478		
http://schema.org/photo	49098		
http://schema.org/name	10434		
http://schema.org/alternateName	4069		
http://schema.org/address	3952		
http://schema.org/ratingValue	3885		
http://schema.org/addressLocality	3392		
http://schema.org/addressCountry	3371		
http://schema.org/streetAddress	3338		
http://schema.org/bestRating	3108		
http://schema.org/postalCode	3103		
http://schema.org/content	3077		
http://schema.org/addressRegion	2751		
http://schema.org/priceRange	2622		
http://schema.org/starRating	2374		
http://schema.org/aggregateRating	2145		
http://schema.org/ratingCount	1770		
http://schema.org/latitude	1638		
http://schema.org/longitude	1638		
http://schema.org/value	1294		
http://schema.org/geo	1218		
http://schema.org/author	1124		
http://schema.org/review	1057		
http://schema.org/reviewRating	1041		
http://schema.org/reviewBody	1027		
http://schema.org/dayOfWeek	833		
http://schema.org/worstRating	653		
http://schema.org/potentialAction	637		
http://schema.org/datePublished	619		
http://schema.org/url	591		
http://schema.org/openingHours	531		
<http://schema.org/description>	483		
http://schema.org/faxNumber	475		
http://schema.org/contactPoint	438		
http://schema.org/contactType	438		
http://schema.org/inLanguage	414		
http://schema.org/containsPlace	409		
http://schema.org/reviewCount	405		
http://schema.org/target	396		
http://schema.org/result	395		
http://schema.org/urlTemplate	391		
http://schema.org/email	301		
http://schema.org/Name	272		
http://schema.org/unitCode	242		
http://schema.org/floorSize	241		
http://schema.org/maximumAttendeeCapacity	241		
http://schema.org/image	212		
http://schema.org/availableLanguage	208		
http://schema.org/checkoutTime	207		
http://schema.org/checkinTime	206		
http://schema.org/petsAllowed	168		
http://schema.org/openingHoursSpecification	132		
http://schema.org/closes	125		
http://schema.org/opens	125		
http://schema.org/itemListElement	96		
https://schema.org/potentialAction	88		
https://schema.org/name	72		
http://schema.org/itemOffered	70		
http://schema.org/audience	68		
http://schema.org/contentLocation	65		
http://schema.org/acceptedAnswer	62		
http://schema.org/mainEntity	62		
http://schema.org/text	62		
http://schema.org/currenciesAccepted	55		
http://schema.org/caption	52		
http://schema.org/representativeOfPage	52		
http://schema.org/thumbnail	52		
http://schema.org/foundingDate	51		
http://schema.org/areaServed	50		
http://schema.org/brand	50		
http://schema.org/contentlocation	50		
http://schema.org/creditText	50		
http://schema.org/hasMap	50		
http://schema.org/additionalProperty	45		
http://schema.org/paymentAccepted	36		
https://schema.org/description	36		
http://schema.org/branchOf	35		
@id:	31		
http://schema.org/numberOfRooms	31		
https://schema.org/url	31		
http://schema.org/legalName	27		
http://schema.org/parentOrganization	23		
https://schema.org/author	23		
http://www.w3.org/1999/xhtml/microdata#item	22		
http://schema.org/owns	20		
http://schema.org/acceptedPaymentMethod	19		
https://schema.org/address	19		
http://schema.org/actionPlatform	18		
http://schema.org/height	16		
http://schema.org/width	16		
https://schema.org/reviewBody	16		
https://schema.org/unitCode	15		
https://schema.org/value	15		
https://schema.org/datePublished	13		
https://schema.org/reviewRating	13		
http://schema.org/reviews	12		
https://schema.org/image	12		
https://schema.org/ratingValue	12		
http://schema.org/ContainsPlace	11		
https://schema.org/streetAddress	11		
http://schema.org/amenities	10		
http://schema.org/position	10		
https://schema.org/minValue	10		
http://schema.org/checkIn	9		
http://schema.org/checkOut	9		
http://schema.org/hasOfferCatalog	8		
http://schema.org/interactionType	8		
http://schema.org/userInteractionCount	8		
http://schema.org/validThrough	8		
http://fr.dbpedia.org/property/trad	7		
http://schema.org/logo	7		
http://schema.org/price	7		
http://schema.org/priceCurrency	7		
http://schema.org/validFrom	7		
https://schema.org/geo	7		
https://schema.org/latitude	7		
https://schema.org/longitude	7		
https://schema.org/priceRange	7		
https://schema.org/starRating	7		
http://schema.org/availability	6		
http://schema.org/hasMerchantReturnPolicy	6		
http://schema.org/itemCondition	6		
http://schema.org/makesOffer	6		
http://schema.org/offers	6		
http://schema.org/smokingAllowed	6		
https://schema.org/email	6		
https://schema.org/keywords	6		
https://schema.org/makesOffer	6		
https://schema.org/price	6		
https://schema.org/priceCurrency	6		
https://schema.org/priceSpecification	6		
http://schema.org/audienceType	5		
https://schema.org/accommodationCategory	5		
https://schema.org/aggregateRating	5		
https://schema.org/bed	5		
https://schema.org/bestRating	5		
https://schema.org/containsPlace	5		
https://schema.org/floorSize	5		
https://schema.org/maxValue	5		
https://schema.org/numberOfRooms	5		
https://schema.org/occupancy	5		
https://schema.org/referenceQuantity	5		
https://schema.org/unitText	5		
http://schema.org/agentInteractionStatistic	4		
http://schema.org/identifier	4		
http://schema.org/interactionStatistic	4		
http://schema.org/itemreviewed	4		
http://schema.org/mainEntityOfPage	4		
http://fr.dbpedia.org/property/attractions	3		
http://schema.org/about	3		
http://schema.org/bed	3		
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	3		
https://schema.org/height	3		
https://schema.org/itemReviewed	3		
https://schema.org/logo	3		
https://schema.org/photo	3		
https://schema.org/publisher	3		
https://schema.org/review	3		
https://schema.org/reviewCount	3		
https://schema.org/width	3		
<http://www.w3.org/2000/01/rdf-schema#label>	2		
http://schema.org/WebPage	2		
http://schema.org/department	2		
http://schema.org/memberOf	2		
http://schema.org/provider	2		
http://www.w3.org/2000/01/rdf-schema#label	2		
http://www.w3.org/2003/01/geo/wgs84_pos#lat	2		
http://www.w3.org/2003/01/geo/wgs84_pos#long	2		
https://schema.org/addressCountry	2		
https://schema.org/addressLocality	2		
https://schema.org/hasMap	2		
https://schema.org/postalCode	2		
https://schema.org/ratingCount	2		
https://schema.org/worstRating	2		
http://dbpedia.org/ontology/abstract	1		
http://dbpedia.org/ontology/wikiPageID	1		
http://dbpedia.org/ontology/wikiPageLength	1		
http://dbpedia.org/ontology/wikiPageRevisionID	1		
http://fr.dbpedia.org/property/casino	1		
http://fr.dbpedia.org/property/chambres	1		
http://fr.dbpedia.org/property/dateOuverture	1		
http://fr.dbpedia.org/property/fr	1		
http://fr.dbpedia.org/property/l\u00E9gende	1		
http://fr.dbpedia.org/property/langue	1		
http://fr.dbpedia.org/property/latitude	1		
http://fr.dbpedia.org/property/longitude	1		
http://fr.dbpedia.org/property/propri\u00E9taire	1		
http://fr.dbpedia.org/property/texte	1		
http://schema.org/\"geo\"	1		
http://schema.org/\"streetAddress\"	1		
http://schema.org/branchCode	1		
http://schema.org/contentUrl	1		
http://schema.org/dateModified	1		
http://schema.org/employee	1		
http://schema.org/faq	1		
http://schema.org/interactionCount	1		
http://schema.org/location	1		
http://schema.org/mail	1		
http://schema.org/mapType	1		
http://schema.org/memberof	1		
http://schema.org/photos	1		
http://schema.org/priceSpecification	1		
http://schema.org/slogan	1		
http://schema.org/subjectOf	1		
http://schema.org/vatID	1		
http://www.georss.org/georss/point	1		
http://www.w3.org/2000/01/rdf-schema#comment	1		
https://schema.org/addressRegion	1		
https://schema.org/faxNumber	1		
