predicate	count	label	description
http://www.w3.org/2000/01/rdf-schema#label	1566		
http://schema.org/description	1511		
http://www.wikidata.org/prop/direct/p1174	508	visitors per year	number of people visiting a location or an event each year
http://www.w3.org/2004/02/skos/core#altLabel	470		
http://www.wikidata.org/prop/direct/p625	221	coordinate location	geocoordinates of the subject. For Earth, please note that only the WGS84 geodetic datum is currently supported
http://schema.org/dateModified	199		
http://schema.org/version	199		
http://wikiba.se/ontology#identifiers	198		
http://wikiba.se/ontology#sitelinks	198		
http://wikiba.se/ontology#statements	198		
http://www.wikidata.org/prop/direct/p214	184	VIAF cluster ID	identifier for the Virtual International Authority File database [format: up to 22 digits]; please note: VIAF is a cluster, the ID can include multiple items
http://www.wikidata.org/prop/direct/p373	179	Commons category	name of the Wikimedia Commons category containing files related to this item (without the prefix 
http://www.wikidata.org/prop/direct/p571	164	inception	time when an entity begins to exist; for date of official opening use P1619
http://www.wikidata.org/prop/direct/p8093	158	donations	sum of donations an organization receives
http://www.wikidata.org/prop/direct/p213	148	ISNI	International Standard Name Identifier for an identity. Starting with 0000.
http://www.wikidata.org/prop/direct/p244	144	Library of Congress authority ID	Library of Congress name authority (persons, families, corporate bodies, events, places, works and expressions) and subject authority identifier [Format: 1-2 specific letters followed by 8-10 digits (see regex). For manifestations, use P1144]
http://www.wikidata.org/prop/direct/p281	132	postal code	code assigned by postal authorities for the subject area or building for the purpose of sorting and routing mail
http://www.wikidata.org/prop/direct/p646	130	Freebase ID	identifier for a page in the Freebase database. Format: 
http://www.wikidata.org/prop/direct/p2139	129	total revenue	income gained by an organization during a given time frame. Not to be confused with fiscal revenue
http://www.wikidata.org/prop/direct/p269	125	IdRef ID	identifier for authority control in the French collaborative library catalog (see also P1025). Format: 8 digits followed by a digit or 
http://www.wikidata.org/prop/direct/p13591	119	Yale LUX ID	identifier for an entity in Yale's LUX cross collection knowledge graph
http://www.wikidata.org/prop/direct/p227	117	GND ID	identifier from the Gemeinsame Normdatei authority file of names, subjects, and organizations
http://www.wikidata.org/prop/direct/p1619	115	date of official opening	date or point in time a place, organization, or event officially opened
http://www.wikidata.org/prop/direct/p1612	114	Commons Institution page	name of the institutions's page on Wikimedia Commons (without the prefix 
http://www.wikidata.org/prop/direct/p8687	114	social media followers	number of subscribers on a particular social media website (use as main statement only; see P3744 instead for qualifier). Qualify with 
http://www.wikidata.org/prop/direct/p8189	112	National Library of Israel J9U ID	identifier used by the National Library of Israel
http://www.wikidata.org/prop/direct/p1128	110	employees	total number of employees of a company at a given 
http://www.wikidata.org/prop/direct/p691	104	NL CR AUT ID	identifier in the Czech National Authority Database of National Library of the Czech Republic (NL CR)
http://www.wikidata.org/prop/direct/p268	101	Bibliothèque nationale de France ID	identifier for the subject issued by BNF (Bibliothèque nationale de France). Format: 8 digits followed by a check-digit or letter, do not include the initial 'cb'.
http://www.wikidata.org/prop/direct/p2002	100	X (Twitter) username	username on X (formerly Twitter); do not include the '@' symbol
http://www.wikidata.org/prop/direct/p2403	90	total assets	value of assets held by a private or public entity
http://www.wikidata.org/prop/direct/p6155	85	Sotheby's Museum Network ID	identifier for a museum on the Sotheby's Museum Network website
http://www.wikidata.org/prop/direct/p10689	81	OpenStreetMap way ID	identifier for a way in OpenStreetMap
http://www.wikidata.org/prop/direct/p2013	80	Facebook username	identifier for an official (preferably) Facebook person, product or organization page (everything that follows URL part 'https://www.facebook.com/')
http://www.wikidata.org/prop/direct/p245	74	Union List of Artist Names ID	identifier from the Getty Union List of Artist Names
http://www.wikidata.org/prop/direct/p271	73	NACSIS-CAT author ID	identifier for book authors in NACSIS-CAT, the union catalog for university libraries and research institutions in Japan
http://www.wikidata.org/prop/direct/p11496	72	CiNii Research ID	19-digits identifier in CiNii Research
http://www.wikidata.org/prop/direct/p2046	72	area	area occupied by an object
